"entry_id";"resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"event_date";"current_state";"critical_factor";"failure_repetition";"redundancy_factor";"aggeregated_failure_count";"reinitialization_factor";"dependency_type";"dependency_levels_up";"dependency_levels_down"
89;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
90;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
91;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
92;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"false";"low";"false";"low";"true";"local";"high";"low"
93;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
94;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"2021-03-07 06:28:40";"offline";"false";"low";"false";"low";"true";"global";"low";"low"
95;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"true";"low";"false";"low";"false";"shared";"low";"low"
96;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"2021-03-07 06:28:40";"offline";"false";"low";"false";"low";"true";"local";"low";"low"
97;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"2021-03-07 06:37:04";"offline";"true";"low";"true";"low";"true";"local";"low";"low"
98;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:41:40";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
99;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"2021-03-07 06:46:26";"offline";"true";"low";"false";"high";"true";"local";"low";"low"
100;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"false";"global";"low";"low"
101;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
102;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
103;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"true";"local";"low";"low"
104;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"2021-03-07 06:55:49";"offline";"true";"low";"false";"low";"true";"local";"high";"low"
