"entry_id";"configuration_resource_id";"resource_name";"HAC_resource_name";"group_id";"cluster_id";"node_id";"error_message";"event_date";"current_state";"aggeregated_failure_count";"failure_repetition";"error_rating";"dependency_factor"
16;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
17;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
18;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
19;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"1";0;0;1;3
20;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";8;2;1;3
21;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
22;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
23;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 00:30:24";"0";0;0;1;3
24;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"not running";"2021-03-07 00:30:25";"0";0;0;1;3
25;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 00:56:22";"0";1;0;1;3
26;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:16:41";"0";1;0;1;3
27;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";1;0;1;3
28;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";1;0;1;3
29;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";1;0;1;3
30;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";1;0;1;3
31;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";2;0;1;3
32;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 01:24:57";"0";1;0;1;3
33;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
34;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";2;0;1;3
35;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
36;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"1";1;0;1;3
37;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
38;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";9;0;1;3
39;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
40;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
42;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 01:24:58";"0";1;0;1;3
43;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 05:42:05";"0";0;0;1;3
44;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
45;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
46;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
47;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
48;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
49;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
50;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
51;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
52;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"1";0;0;1;3
53;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
54;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
55;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
56;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
57;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 05:42:06";"0";0;0;1;3
58;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 05:49:46";"0";1;0;1;3
59;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 05:57:13";"0";2;0;1;3
60;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
61;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
62;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
63;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
64;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
65;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
66;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
67;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
68;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"1";1;0;1;3
69;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
70;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
71;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";3;0;1;3
72;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
73;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 06:02:07";"0";1;0;1;3
74;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 06:02:08";"0";1;0;1;3
75;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:02:08";"0";0;0;1;3
76;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:02:56";"0";4;1;1;3
77;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:06:24";"1";2;0;1;3
78;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:08:36";"0";5;0;1;3
79;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:09:58";"0";6;1;1;3
80;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:11:06";"0";7;1;1;3
81;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
82;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
83;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
84;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
85;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
86;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
87;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
88;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"1";3;0;1;3
89;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
90;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
91;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
92;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
93;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";8;0;1;3
94;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
95;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";2;0;1;3
96;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:28:40";"0";1;0;1;3
97;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:37:04";"1";4;0;1;3
98;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:41:40";"0";9;0;1;3
99;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:46:26";"0";10;0;1;3
100;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
101;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
102;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
103;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
104;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
105;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:55:49";"0";3;0;1;3
106;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"1";5;0;1;3
107;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
108;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
109;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
110;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";11;0;1;3
111;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
112;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
113;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
114;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";3;0;1;3
115;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"not running";"2021-03-07 06:55:50";"0";2;0;1;3
116;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:17:36";"0";12;0;1;3
117;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:19:41";"1";6;0;1;3
118;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:20:36";"1";7;1;1;3
119;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:20:47";"1";8;2;1;3
120;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:22:09";"1";9;2;1;3
121;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:22:19";"1";10;3;1;3
122;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:23:36";"1";11;2;1;3
123;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:47:44";"0";4;0;1;3
124;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:50:37";"0";13;0;1;3
125;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:54:17";"0";4;0;1;3
126;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
127;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
128;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
129;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";5;1;1;3
130;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
131;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
132;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"1";12;0;1;3
133;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
134;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";5;0;1;3
135;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
136;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
137;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";14;0;1;3
138;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
139;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 07:55:40";"0";4;0;1;3
140;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 07:55:41";"0";4;0;1;3
141;"C1G4A1B1";"backup lock server service";"rsc_DEV_ERS10";"C1G4A1";"cluster1";1;"not running";"2021-03-07 07:55:41";"0";3;0;1;3
142;"C1GD3";"SBD ";"stonith-sbd";"C1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
143;"C1G2A1B1C1";"FS database";"fs_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
144;"C1G2A1B1C2";"VIP";"vip_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
145;"C1G2A1B1";"database";"rsc_DEV_database";"C1G2A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
146;"C1G1A1B1C1";"FS message and lock ";"fs_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";6;0;1;3
147;"C1G1A1B1C4";"VIP";"vip_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
148;"C1G4A1B1C1";"VIP";"vip_DEV_ERS";"C1G4A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
149;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"1";13;0;1;3
150;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
151;"C1G1A1B1C3";"FS interface";"fs_3_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";6;0;1;3
152;"C1G3A1B1C1";"FS main instance";"fs_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
153;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";15;0;1;3
154;"C1G3A1B1C2";"VIP";"vip_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
155;"C1GD2";"NIC monitor";"global_rsc_DEV_NIC";"C1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
156;"C1G5A1B1";"DLM";"dlm_DEV";"C1G5A1";"cluster1";1;"not running";"2021-03-07 07:58:18";"0";5;0;1;3
157;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 07:58:50";"0";16;1;1;3
158;"C1G1A1B1";"message and lock service";"rsc_DEV_ASCS00";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:04:42";"1";14;0;1;3
159;"C1G3A1B1";"main instance";"rsc_DEV_CI";"C1G3A1";"cluster1";1;"not running";"2021-03-07 08:04:42";"0";17;0;1;3
160;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:15:28";"0";6;0;1;3
161;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:15:50";"0";7;1;1;3
162;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:16:12";"0";8;2;1;3
163;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:16:33";"0";9;3;1;3
164;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:31:34";"0";10;0;1;3
165;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 08:46:34";"0";11;0;1;3
166;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 09:01:34";"0";12;0;1;3
167;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 09:16:34";"0";13;0;1;3
168;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 09:31:34";"0";14;0;1;3
169;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 09:46:34";"0";14;0;1;3
170;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 10:01:34";"0";15;0;1;3
171;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 10:16:34";"0";15;0;1;3
172;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 10:31:34";"0";15;0;1;3
173;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 10:46:34";"0";16;0;1;3
174;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 11:01:34";"0";16;0;1;3
175;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 11:16:34";"0";17;0;1;3
176;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 11:31:35";"0";18;0;1;3
177;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 11:46:35";"0";19;0;1;3
178;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 12:01:35";"0";18;0;1;3
179;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 12:16:35";"0";15;0;1;3
180;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 12:31:35";"0";15;0;1;3
181;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 12:46:35";"0";15;0;1;3
182;"C1G1A1B1C2";"FS trans";"fs_2_DEV_ASCS";"C1G1A1";"cluster1";1;"not running";"2021-03-07 13:01:35";"0";15;0;1;3
